dataset_group,fold,evaluation,dataset,classifier,Macro_F1,Accuracy,Precision_macro,Recall_macro,ROC_AUC,inner_fold
covid,1,synthetic_only_internal_cv,SepAware_VariedGrid_Best,XGBoost,0.7107142857142856,0.7777777777777778,0.7107142857142856,0.7107142857142856,0.8285714285714285,2.0
covid,1,synthetic_only_internal_cv,SepAware_VariedGrid_Best,CatBoost,0.7314189189189189,0.7735849056603774,0.7190402476780186,0.7721153846153846,0.826923076923077,3.0
covid,1,synthetic_only_internal_cv,SepAware_VariedGrid_Best,XGBoost,0.7314189189189189,0.7735849056603774,0.7190402476780186,0.7721153846153846,0.8288461538461539,3.0
covid,1,synthetic_only_internal_cv,SepAware_VariedGrid_Best,CatBoost,0.7705627705627706,0.8490566037735849,0.8207070707070707,0.7442307692307693,0.925,4.0
covid,1,synthetic_only_internal_cv,SepAware_VariedGrid_Best,XGBoost,0.750130958617077,0.8301886792452831,0.7802325581395348,0.7317307692307693,0.9096153846153846,4.0
covid,1,synthetic_only_internal_cv,SepAware_VariedGrid_Best,CatBoost,0.6918604651162791,0.8113207547169812,0.7701863354037267,0.6673076923076923,0.851923076923077,5.0
covid,1,synthetic_only_internal_cv,SepAware_VariedGrid_Best,XGBoost,0.6558441558441558,0.7735849056603774,0.6868686868686869,0.6423076923076924,0.8634615384615385,5.0
covid,1,train_synthetic_test_real_cv,Fixed_Realism_only_sep0.0_anchor0.0,CatBoost,0.5298245614035088,0.7611940298507462,0.6388888888888888,0.5428921568627452,0.5955882352941176,
covid,1,train_synthetic_test_real_cv,Fixed_Realism_only_sep0.0_anchor0.0,XGBoost,0.40707964601769914,0.6865671641791045,0.3709677419354839,0.45098039215686275,0.4522058823529412,
covid,1,synthetic_only_internal_cv,Fixed_Realism_only_sep0.0_anchor0.0,CatBoost,0.46428571428571425,0.6296296296296297,0.4636363636363636,0.4714285714285714,0.5946428571428573,1.0
covid,1,synthetic_only_internal_cv,Fixed_Realism_only_sep0.0_anchor0.0,XGBoost,0.4199488491048593,0.6111111111111112,0.4111111111111111,0.4357142857142857,0.5303571428571429,1.0
covid,1,synthetic_only_internal_cv,Fixed_Realism_only_sep0.0_anchor0.0,CatBoost,0.41304347826086957,0.7037037037037037,0.36538461538461536,0.475,0.5839285714285714,2.0
covid,1,synthetic_only_internal_cv,Fixed_Realism_only_sep0.0_anchor0.0,XGBoost,0.4065934065934066,0.6851851851851852,0.3627450980392157,0.4625,0.5446428571428572,2.0
covid,1,synthetic_only_internal_cv,Fixed_Realism_only_sep0.0_anchor0.0,CatBoost,0.4111111111111111,0.6981132075471698,0.37,0.4625,0.4384615384615385,3.0
covid,1,synthetic_only_internal_cv,Fixed_Realism_only_sep0.0_anchor0.0,XGBoost,0.3977272727272727,0.660377358490566,0.3645833333333333,0.4375,0.45384615384615384,3.0
covid,1,synthetic_only_internal_cv,Fixed_Realism_only_sep0.0_anchor0.0,CatBoost,0.45493042952208107,0.6792452830188679,0.4556737588652482,0.47596153846153844,0.43269230769230776,4.0
